Name,City,Address,Status,Notes,Coffee Quality ,Food Quality ,Aesthetics,Rain Vibes,Lighting,Main Character Energy ,Dietaries ,Work Friendly,Stay a While Factor ,Staff,Post Exercise ,First Date,Weighted Score ,Rank,Latitude,Longitude,Photos,Date Visited,Reccommened For
Sala,Christchurch,"1 Treffers Road, Wigram, Christchurch 8042",Visited,,10,8,7,8,8,6,4,9,9,10,9,4,8.2,3,-43.54436,172.571275,,,
Soulful Coffee,Christchurch,"2J Waipapa Avenue, Diamond Harbour 8972",Visited,,7,7,8,7,6,8,4,5,8,9,8,6,7.06,10,-43.626342,172.739621,,,
Moment Cafe,Christchurch,"87 Manchester Street, Christchurch Central City, Christchurch 8011",Visited,,6,7,8,7,7,3,5,4,3,6,4,3,3.94,28,-43.536533,172.6394,,,
Unknown Chapter Coffee Roasters,Christchurch,"254 Saint Asaph Street, Christchurch Central City, Christchurch 8011",Visited,,10,10,9,9,8,8,9,9,6,8,7,7,5.31,24,-43.536546,172.641434,,,
Black Betty Cafe,Christchurch,"165 Madras Street, Christchurch Central City, Christchurch 8011",Visited,,5,6,8,9,7,5,5,5,7,7,4,4,3.19,29,-43.537539,172.64248,,,
Niche Coffee + Eatery,Christchurch,"Unit 18/42 Marriner Street, Sumner, Christchurch 8081",Whishlist,,,,,,,,,,,,,,,,-43.5753,172.7589,,,
Bohemian Bakery Sumner,Christchurch,"43 Nayland Street, Sumner, Christchurch 8081",Visited,,7,8,6,2,5,7,8,2,2,9,10,5,5.95,20,-43.57162857,172.7626495,,,
Brigittes Merivale,Christchurch,"209 Papanui Road, Merivale, Christchurch 8014",Visited,,6,7,5,7,7,5,7,3,5,6,5,7,5.74,23,-43.51500702,172.6238708,,,
Park Ranger,Christchurch,"114 Riccarton Road, Riccarton, Christchurch 8041",Visited,,8,8,7,8,7,7,8,6,4,7,8,6,7.21,8,-43.5296537,172.5995422,,,
Ancestral at UC Canty Cafe & Restaurant,Christchurch,"Ground Floor Ernest Rutherford Building, Ilam, Christchurch 8041",Visited,,9,7,4,7,6,3,5,7,7,7,3,1,6.31,15,-43.5225,172.5813,,,
The Quarters at Riccarton House,Christchurch,"16 Kahu Road, Riccarton, Christchurch 8041",Whishlist,,,,,,,,,,,,,,,,-43.5266235,172.5978201,,,
Child Sister,Christchurch,"277 Manchester Street, Christchurch Central City, Christchurch 8011",Visited,,9,10,7,8,7,4,6,3,4,1,4,7,6.21,18,-43.53385544,172.639679,,,
dainty,Christchurch,"159 Manchester Street, Christchurch Central City, Christchurch 8011",Visited,,6,5,6,8,6,7,5,7,8,9,7,4,6.64,13,-43.53367,172.6394595,,,
Scoundrel,Christchurch,"375 Saint Asaph Street, Christchurch Central City, Christchurch 8011",Visited,,8,9,10,10,7,8,8,10,9,8,5,7,8.59,2,-43.53637695,172.6374512,,,
Rook,Christchurch,"159 Hereford Street, Christchurch Central City, Christchurch 8011",Visited,,10,8,9,10,10,9,6,9,9,10,9,7,9.16,1,-43.5318087,172.6386772,,,
Supreme Supreme,Christchurch,"10 Welles Street, Christchurch Central City, Christchurch 8011",Whishlist,,,,,,,,,,,,,,,,,,,,
Vivace Espresso,Christchurch,"151 Cambridge Terrace, City Centre, Christchurch 8013",Whishlist,,,,,,,,,,,,,,,,,,,,
